,menu_id,place,occasion,date,location,page_count,dish_count,dish_name,dish_id,menu_item_id,menu_page_id,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,price_x,high_price,tokenized_desc,no_stopwords,pos_desc,desc_len,desc_all_len,cleaned_text,clean_text,decade,avg_price_at_restaurant
4452,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,sirloin steak,247.0,485905,45014,914,931,1,1987,0.0,235.0,2200.0,,"['sirloin', 'steak']","['sirloin', 'steak']","[('sirloin', 'NN'), ('steak', 'NN')]",2.0,2.0,"'sirloin', 'steak'",sirloin steak,1960,722.2772277227723
4486,27876,,,1971-05-01,Bamerette,7,95,sirloin steak,247.0,1001296,50518,914,931,1,1987,0.0,235.0,48.0,,"['sirloin', 'steak']","['sirloin', 'steak']","[('sirloin', 'NN'), ('steak', 'NN')]",2.0,2.0,"'sirloin', 'steak'",sirloin steak,1970,72.33947368421053
4914,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,plain omelet,5962.0,485151,44992,240,247,1859,1987,0.0,25.0,220.0,,"['plain', 'omelet']","['plain', 'omelet']","[('plain', 'NN'), ('omelet', 'NN')]",2.0,2.0,"'plain', 'omelet'",plain omelet,1960,405.75757575757575
5191,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,baked potatoes,920.0,485884,45014,1292,1325,1859,2012,0.0,20.0,200.0,,"['baked', 'potatoes']","['baked', 'potatoes']","[('baked', 'VBN'), ('potatoes', 'NNS')]",2.0,2.0,"'baked', 'potatoes'",baked potatoes,1960,722.2772277227723
6336,26458,Orchid Room,,1969-12-01,Hotel Okura,3,99,lyonnaise potatoes,293.0,1324799,44973,728,746,1,1989,0.0,30.0,120.0,,"['lyonnaise', 'potatoes']","['lyonnaise', 'potatoes']","[('lyonnaise', 'NN'), ('potatoes', 'NNS')]",2.0,2.0,"'lyonnaise', 'potatoes'",lyonnaise potatoes,1960,214.0
7577,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,coffee,96.0,494902,44993,7751,8498,1,2928,0.0,30.0,160.0,,['coffee'],['coffee'],"[('coffee', 'NN')]",1.0,1.0,'coffee',coffee,1960,405.75757575757575
7578,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,coffee,96.0,495015,44994,7751,8498,1,2928,0.0,30.0,160.0,,['coffee'],['coffee'],"[('coffee', 'NN')]",1.0,1.0,'coffee',coffee,1960,405.75757575757575
7579,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,coffee,96.0,485865,45014,7751,8498,1,2928,0.0,30.0,150.0,,['coffee'],['coffee'],"[('coffee', 'NN')]",1.0,1.0,'coffee',coffee,1960,722.2772277227723
8535,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,tea,97.0,485867,45014,4167,4781,1858,2012,0.0,25.0,150.0,,['tea'],['tea'],"[('tea', 'NN')]",1.0,1.0,'tea',tea,1960,722.2772277227723
9976,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,cocoa,283.0,494904,44993,1636,1704,1865,1987,0.0,25.0,160.0,,['cocoa'],['cocoa'],"[('cocoa', 'NN')]",1.0,1.0,'cocoa',cocoa,1960,405.75757575757575
