,index,menu_id,place,occasion,date,location,page_count,dish_count,dish_name,dish_id,menu_item_id,menu_page_id,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,price_x,high_price,tokenized_desc,no_stopwords,pos_desc,desc_len,desc_all_len,cleaned_text,clean_text,decade,avg_price_at_restaurant
0,637990,16016,,,1901-08-30,Southern Pacific Company,2,57,"american, edam or roquefort cheese, with bent's crackers",30323.0,79398,10880,1,1,1901,1901,0.2,0.2,0.2,,"['american,', 'edam', 'or', 'roquefort', 'cheese,', 'with', ""bent's"", 'crackers']","['american,', 'edam', 'roquefort', 'cheese,', ""bent's"", 'crackers']","[('american,', 'NN'), ('edam', 'NN'), ('roquefort', 'NN'), ('cheese,', 'NN'), (""bent's"", 'NN'), ('crackers', 'NNS')]",6.0,8.0,"'american,', 'edam', 'roquefort', 'cheese,', 'bent's', 'crackers'",american edam roquefort cheese bents crackers,1900,0.2
1,865400,26689,Hana-Bishi,,1970-01-01,Hana Bishi,5,97,"ishi-yaki thinly sliced choice n.y. steak, alaskan salmon, and vegetables broiled on hot stone. chef's special sause. served with tossed green salad. served with otsumami, tempura, soup, tsukemono, rice tea or coffee and dessert",157811.0,511872,46125,1,1,1970,1970,6.5,6.5,6.5,,"['ishi-yaki', 'thinly', 'sliced', 'choice', 'n.y.', 'steak,', 'alaskan', 'salmon,', 'and', 'vegetables', 'broiled', 'on', 'hot', 'stone.', ""chef's"", 'special', 'sause.', 'served', 'with', 'tossed', 'green', 'salad.', 'served', 'with', 'otsumami,', 'tempura,', 'soup,', 'tsukemono,', 'rice', 'tea', 'or', 'coffee', 'and', 'dessert']","['ishi-yaki', 'thinly', 'sliced', 'choice', 'n.y.', 'steak,', 'alaskan', 'salmon,', 'vegetables', 'broiled', 'hot', 'stone.', ""chef's"", 'special', 'sause.', 'served', 'tossed', 'green', 'salad.', 'served', 'otsumami,', 'tempura,', 'soup,', 'tsukemono,', 'rice', 'tea', 'coffee', 'dessert']","[('ishi-yaki', 'JJ'), ('thinly', 'RB'), ('sliced', 'JJ'), ('choice', 'NN'), ('n.y.', 'RB'), ('steak,', 'JJ'), ('alaskan', 'JJ'), ('salmon,', 'NN'), ('vegetables', 'NNS'), ('broiled', 'VBD'), ('hot', 'JJ'), ('stone.', 'NN'), (""chef's"", 'NN'), ('special', 'JJ'), ('sause.', 'NN'), ('served', 'VBD'), ('tossed', 'JJ'), ('green', 'JJ'), ('salad.', 'NN'), ('served', 'VBD'), ('otsumami,', 'JJ'), ('tempura,', 'NN'), ('soup,', 'NN'), ('tsukemono,', 'NN'), ('rice', 'NN'), ('tea', 'NN'), ('coffee', 'NN'), ('dessert', 'NN')]",28.0,34.0,"'ishi-yaki', 'thinly', 'sliced', 'choice', 'n.y.', 'steak,', 'alaskan', 'salmon,', 'vegetables', 'broiled', 'hot', 'stone.', 'chef's', 'special', 'sause.', 'served', 'tossed', 'green', 'salad.', 'served', 'otsumami,', 'tempura,', 'soup,', 'tsukemono,', 'rice', 'tea', 'coffee', 'dessert'",ishiyaki thinly sliced choice ny steak alaskan salmon vegetables broiled hot stone chefs special sause served tossed green salad served otsumami tempura soup tsukemono rice tea coffee dessert,1970,6.5
2,865673,26693,The Navigator Room (Navigator Restaurant),,1969-06-15,Harborside Inn,5,55,"fried seafood platter clams, scallops, swordfish, lobster, shrimp, french fried potatoes, tartar sauce.",172129.0,530043,46140,1,1,1969,1969,5.5,5.5,5.5,,"['fried', 'seafood', 'platter', 'clams,', 'scallops,', 'swordfish,', 'lobster,', 'shrimp,', 'french', 'fried', 'potatoes,', 'tartar', 'sauce.']","['fried', 'seafood', 'platter', 'clams,', 'scallops,', 'swordfish,', 'lobster,', 'shrimp,', 'french', 'fried', 'potatoes,', 'tartar', 'sauce.']","[('fried', 'VBN'), ('seafood', 'NN'), ('platter', 'NN'), ('clams,', 'NN'), ('scallops,', 'NN'), ('swordfish,', 'NN'), ('lobster,', 'NN'), ('shrimp,', 'NN'), ('french', 'JJ'), ('fried', 'VBN'), ('potatoes,', 'JJ'), ('tartar', 'NN'), ('sauce.', 'NN')]",13.0,13.0,"'fried', 'seafood', 'platter', 'clams,', 'scallops,', 'swordfish,', 'lobster,', 'shrimp,', 'french', 'fried', 'potatoes,', 'tartar', 'sauce.'",fried seafood platter clams scallops swordfish lobster shrimp french fried potatoes tartar sauce,1960,5.5
3,869091,26710,Fiorello's,,2000-11-06,Fiorello's,4,112,"roasted chilean seabass borlotti beans, pancetta, vegetables & lobster broth",462838.0,534732,46202,1,1,0,0,0.0,0.0,22.95,,"['roasted', 'chilean', 'seabass', 'borlotti', 'beans,', 'pancetta,', 'vegetables', '&', 'lobster', 'broth']","['roasted', 'chilean', 'seabass', 'borlotti', 'beans,', 'pancetta,', 'vegetables', '&', 'lobster', 'broth']","[('roasted', 'VBN'), ('chilean', 'JJ'), ('seabass', 'NN'), ('borlotti', 'NN'), ('beans,', 'NN'), ('pancetta,', 'NN'), ('vegetables', 'NNS'), ('&', 'CC'), ('lobster', 'JJR'), ('broth', 'NN')]",10.0,10.0,"'roasted', 'chilean', 'seabass', 'borlotti', 'beans,', 'pancetta,', 'vegetables', '&', 'lobster', 'broth'",roasted chilean seabass borlotti beans pancetta vegetables  lobster broth,2000,22.95
4,877228,26783,The Chronicle,,1976-11-10,The Chronicle,3,57,"moller salad ~ mixed greens with tomatoes, swiss cheese, artichoke hearts, anchovy filets, diced turkey, hard boiled eggs, black olives, sliced avocado ~ topped with bay shrimp and crab legs ~ house dressing",420756.0,504381,46593,1,1,1976,1976,5.25,5.25,5.25,,"['moller', 'salad', '~', 'mixed', 'greens', 'with', 'tomatoes,', 'swiss', 'cheese,', 'artichoke', 'hearts,', 'anchovy', 'filets,', 'diced', 'turkey,', 'hard', 'boiled', 'eggs,', 'black', 'olives,', 'sliced', 'avocado', '~', 'topped', 'with', 'bay', 'shrimp', 'and', 'crab', 'legs', '~', 'house', 'dressing']","['moller', 'salad', '~', 'mixed', 'greens', 'tomatoes,', 'swiss', 'cheese,', 'artichoke', 'hearts,', 'anchovy', 'filets,', 'diced', 'turkey,', 'hard', 'boiled', 'eggs,', 'black', 'olives,', 'sliced', 'avocado', '~', 'topped', 'bay', 'shrimp', 'crab', 'legs', '~', 'house', 'dressing']","[('moller', 'NN'), ('salad', 'NN'), ('~', 'NNP'), ('mixed', 'JJ'), ('greens', 'NNS'), ('tomatoes,', 'JJ'), ('swiss', 'JJ'), ('cheese,', 'NN'), ('artichoke', 'VBD'), ('hearts,', 'JJ'), ('anchovy', 'NN'), ('filets,', 'NN'), ('diced', 'VBD'), ('turkey,', 'JJ'), ('hard', 'RB'), ('boiled', 'VBD'), ('eggs,', 'JJ'), ('black', 'JJ'), ('olives,', 'NN'), ('sliced', 'VBD'), ('avocado', 'JJ'), ('~', 'NNP'), ('topped', 'VBD'), ('bay', 'VB'), ('shrimp', 'JJ'), ('crab', 'NN'), ('legs', 'NNS'), ('~', 'VBP'), ('house', 'NN'), ('dressing', 'NN')]",30.0,33.0,"'moller', 'salad', '~', 'mixed', 'greens', 'tomatoes,', 'swiss', 'cheese,', 'artichoke', 'hearts,', 'anchovy', 'filets,', 'diced', 'turkey,', 'hard', 'boiled', 'eggs,', 'black', 'olives,', 'sliced', 'avocado', '~', 'topped', 'bay', 'shrimp', 'crab', 'legs', '~', 'house', 'dressing'",moller salad  mixed greens tomatoes swiss cheese artichoke hearts anchovy filets diced turkey hard boiled eggs black olives sliced avocado  topped bay shrimp crab legs  house dressing,1970,5.25
5,887782,26866,Senor Pico; Ghiradelli Square,,1966-01-17,Senor Pico,9,186,"chicken chalupa compuesta (a ""salad""-julienne of cold chicken topped with guacamole on a bed of toasted tortilla, refried beans, cheese and shredded lettuce served with pico's tomato sauce)",520009.0,532469,47090,1,1,0,0,0.0,0.0,2.4,,"['chicken', 'chalupa', 'compuesta', '(a', '""salad""-julienne', 'of', 'cold', 'chicken', 'topped', 'with', 'guacamole', 'on', 'a', 'bed', 'of', 'toasted', 'tortilla,', 'refried', 'beans,', 'cheese', 'and', 'shredded', 'lettuce', 'served', 'with', ""pico's"", 'tomato', 'sauce)']","['chicken', 'chalupa', 'compuesta', '(a', '""salad""-julienne', 'cold', 'chicken', 'topped', 'guacamole', 'bed', 'toasted', 'tortilla,', 'refried', 'beans,', 'cheese', 'shredded', 'lettuce', 'served', ""pico's"", 'tomato', 'sauce)']","[('chicken', 'NN'), ('chalupa', 'NN'), ('compuesta', 'NN'), ('(a', 'JJ'), ('""salad""-julienne', 'JJ'), ('cold', 'NN'), ('chicken', 'NN'), ('topped', 'VBD'), ('guacamole', 'JJ'), ('bed', 'NN'), ('toasted', 'VBD'), ('tortilla,', 'JJ'), ('refried', 'JJ'), ('beans,', 'NN'), ('cheese', 'NN'), ('shredded', 'VBD'), ('lettuce', 'NN'), ('served', 'VBD'), (""pico's"", 'JJ'), ('tomato', 'NN'), ('sauce)', 'NN')]",21.0,28.0,"'chicken', 'chalupa', 'compuesta', '(a', '""salad""-julienne', 'cold', 'chicken', 'topped', 'guacamole', 'bed', 'toasted', 'tortilla,', 'refried', 'beans,', 'cheese', 'shredded', 'lettuce', 'served', 'pico's', 'tomato', 'sauce)'",chicken chalupa compuesta a saladjulienne cold chicken topped guacamole bed toasted tortilla refried beans cheese shredded lettuce served picos tomato sauce,1960,2.4
6,890048,26886,Park Avenue Cafe Town House,,2001-03-11,Park Avenue Cafe Townhouse,4,65,"smoked salmon & pastrami salmon™ with blini, quail eggs & horseradish crème fraîche",512350.0,518424,47211,1,1,2001,2001,15.5,15.5,15.5,,"['smoked', 'salmon', '&', 'pastrami', 'salmon™', 'with', 'blini,', 'quail', 'eggs', '&', 'horseradish', 'crème', 'fraîche']","['smoked', 'salmon', '&', 'pastrami', 'salmon™', 'blini,', 'quail', 'eggs', '&', 'horseradish', 'crème', 'fraîche']","[('smoked', 'VBN'), ('salmon', 'NN'), ('&', 'CC'), ('pastrami', 'NN'), ('salmon™', 'NN'), ('blini,', 'NN'), ('quail', 'NN'), ('eggs', 'NNP'), ('&', 'CC'), ('horseradish', 'JJ'), ('crème', 'NN'), ('fraîche', 'NN')]",12.0,13.0,"'smoked', 'salmon', '&', 'pastrami', 'salmon™', 'blini,', 'quail', 'eggs', '&', 'horseradish', 'crème', 'fraîche'",smoked salmon  pastrami salmonTM blini quail eggs  horseradish creme fraiche,2000,15.5
7,898786,26994,Yale Club of New York,,1979-10-29,Yale Club Of New York,2,139,"antipasto club style: prosciutto ham, sardines, cheese, stuffed eggs, mushroom, celery, radish, olives, tomato and cole slaw",151499.0,503880,47643,1,1,1979,1979,7.6,10.4,10.4,7.6,"['antipasto', 'club', 'style:', 'prosciutto', 'ham,', 'sardines,', 'cheese,', 'stuffed', 'eggs,', 'mushroom,', 'celery,', 'radish,', 'olives,', 'tomato', 'and', 'cole', 'slaw']","['antipasto', 'club', 'style:', 'prosciutto', 'ham,', 'sardines,', 'cheese,', 'stuffed', 'eggs,', 'mushroom,', 'celery,', 'radish,', 'olives,', 'tomato', 'cole', 'slaw']","[('antipasto', 'NN'), ('club', 'NN'), ('style:', 'NN'), ('prosciutto', 'NN'), ('ham,', 'NN'), ('sardines,', 'NN'), ('cheese,', 'NN'), ('stuffed', 'VBD'), ('eggs,', 'JJ'), ('mushroom,', 'NN'), ('celery,', 'NN'), ('radish,', 'NN'), ('olives,', 'IN'), ('tomato', 'JJ'), ('cole', 'NN'), ('slaw', 'NN')]",16.0,17.0,"'antipasto', 'club', 'style:', 'prosciutto', 'ham,', 'sardines,', 'cheese,', 'stuffed', 'eggs,', 'mushroom,', 'celery,', 'radish,', 'olives,', 'tomato', 'cole', 'slaw'",antipasto club style prosciutto ham sardines cheese stuffed eggs mushroom celery radish olives tomato cole slaw,1970,10.4
8,902032,27016,"Dining Car, The Milwaukee Road",,1938-01-01,The Milwaukee Road,4,120,"fruit and cereal and choice of fresh fish, or calf's liver and bacon, or fried pork chops, cream gravy, or small breakfast steak and lyonnaise potatoes, rolls, toast, muffins, coffee, tea, milk, cocoa",184165.0,546689,47713,1,1,1938,1938,0.0,0.0,0.9,,"['fruit', 'and', 'cereal', 'and', 'choice', 'of', 'fresh', 'fish,', 'or', ""calf's"", 'liver', 'and', 'bacon,', 'or', 'fried', 'pork', 'chops,', 'cream', 'gravy,', 'or', 'small', 'breakfast', 'steak', 'and', 'lyonnaise', 'potatoes,', 'rolls,', 'toast,', 'muffins,', 'coffee,', 'tea,', 'milk,', 'cocoa']","['fruit', 'cereal', 'choice', 'fresh', 'fish,', ""calf's"", 'liver', 'bacon,', 'fried', 'pork', 'chops,', 'cream', 'gravy,', 'small', 'breakfast', 'steak', 'lyonnaise', 'potatoes,', 'rolls,', 'toast,', 'muffins,', 'coffee,', 'tea,', 'milk,', 'cocoa']","[('fruit', 'NN'), ('cereal', 'NN'), ('choice', 'NN'), ('fresh', 'JJ'), ('fish,', 'NN'), (""calf's"", 'NN'), ('liver', 'NN'), ('bacon,', 'NN'), ('fried', 'VBD'), ('pork', 'NN'), ('chops,', 'NN'), ('cream', 'NN'), ('gravy,', 'NN'), ('small', 'JJ'), ('breakfast', 'NN'), ('steak', 'NN'), ('lyonnaise', 'NN'), ('potatoes,', 'NN'), ('rolls,', 'NN'), ('toast,', 'NN'), ('muffins,', 'NN'), ('coffee,', 'NN'), ('tea,', 'NN'), ('milk,', 'NN'), ('cocoa', 'NN')]",25.0,33.0,"'fruit', 'cereal', 'choice', 'fresh', 'fish,', 'calf's', 'liver', 'bacon,', 'fried', 'pork', 'chops,', 'cream', 'gravy,', 'small', 'breakfast', 'steak', 'lyonnaise', 'potatoes,', 'rolls,', 'toast,', 'muffins,', 'coffee,', 'tea,', 'milk,', 'cocoa'",fruit cereal choice fresh fish calfs liver bacon fried pork chops cream gravy small breakfast steak lyonnaise potatoes rolls toast muffins coffee tea milk cocoa,1930,0.9
9,906544,27036,,,1930-11-03,Pennsylvania Railroad,2,96,"special dinner - cream of fresh tomatoes soup or consomme, broiled bluefish, anchovy butter, choice of two vegetables, rolls or muffins, tea, coffee, cocoa or milk",352761.0,900999,47796,1,1,1930,1930,0.0,0.0,1.25,,"['special', 'dinner', '-', 'cream', 'of', 'fresh', 'tomatoes', 'soup', 'or', 'consomme,', 'broiled', 'bluefish,', 'anchovy', 'butter,', 'choice', 'of', 'two', 'vegetables,', 'rolls', 'or', 'muffins,', 'tea,', 'coffee,', 'cocoa', 'or', 'milk']","['special', 'dinner', '-', 'cream', 'fresh', 'tomatoes', 'soup', 'consomme,', 'broiled', 'bluefish,', 'anchovy', 'butter,', 'choice', 'two', 'vegetables,', 'rolls', 'muffins,', 'tea,', 'coffee,', 'cocoa', 'milk']","[('special', 'JJ'), ('dinner', 'NN'), ('-', ':'), ('cream', 'NN'), ('fresh', 'JJ'), ('tomatoes', 'NNS'), ('soup', 'VB'), ('consomme,', 'NN'), ('broiled', 'VBN'), ('bluefish,', 'NN'), ('anchovy', 'NN'), ('butter,', 'NN'), ('choice', 'NN'), ('two', 'CD'), ('vegetables,', 'NN'), ('rolls', 'NNS'), ('muffins,', 'VBP'), ('tea,', 'JJ'), ('coffee,', 'NN'), ('cocoa', 'NN'), ('milk', 'NN')]",21.0,26.0,"'special', 'dinner', '-', 'cream', 'fresh', 'tomatoes', 'soup', 'consomme,', 'broiled', 'bluefish,', 'anchovy', 'butter,', 'choice', 'two', 'vegetables,', 'rolls', 'muffins,', 'tea,', 'coffee,', 'cocoa', 'milk'",special dinner  cream fresh tomatoes soup consomme broiled bluefish anchovy butter choice two vegetables rolls muffins tea coffee cocoa milk,1930,1.45
